consensus,mec_count,consumer_id,run_id,service_id,phase,value_ms,has_success,aggregation
clique,10,3,11,service46985663,provider_deploy,14491,1,per_service
clique,10,3,11,service46985663,vxlan_setup,309,1,per_service
clique,10,3,11,service46985663,postcheck,1074,1,per_service
clique,10,3,11,service46985663,total,21770,1,per_service
clique,10,3,12,service7d951cff,bid_collection,5777,1,per_service
clique,10,3,12,service7d951cff,winner_selection,289,1,per_service
clique,10,3,12,service7d951cff,provider_deploy,14735,1,per_service
clique,10,3,12,service7d951cff,vxlan_setup,304,1,per_service
clique,10,3,12,service7d951cff,postcheck,1082,1,per_service
clique,10,3,12,service7d951cff,total,22187,1,per_service
clique,10,3,13,service4f1f5cdc,bid_collection,8625,1,per_service
clique,10,3,13,service4f1f5cdc,winner_selection,300,1,per_service
clique,10,3,13,service4f1f5cdc,provider_deploy,14506,1,per_service
clique,10,3,13,service4f1f5cdc,vxlan_setup,314,1,per_service
clique,10,3,13,service4f1f5cdc,postcheck,1079,1,per_service
clique,10,3,13,service4f1f5cdc,total,24825,1,per_service
clique,10,3,14,service504f57f7,bid_collection,8862,1,per_service
clique,10,3,14,service504f57f7,winner_selection,298,1,per_service
clique,10,3,14,service504f57f7,provider_deploy,14533,1,per_service
clique,10,3,14,service504f57f7,vxlan_setup,274,1,per_service
clique,10,3,14,service504f57f7,postcheck,1078,1,per_service
clique,10,3,14,service504f57f7,total,25045,1,per_service
clique,10,3,15,service49b74d0c,bid_collection,10084,1,per_service
clique,10,3,15,service49b74d0c,winner_selection,316,1,per_service
clique,10,3,15,service49b74d0c,provider_deploy,14664,1,per_service
clique,10,3,15,service49b74d0c,vxlan_setup,340,1,per_service
clique,10,3,15,service49b74d0c,postcheck,1086,1,per_service
clique,10,3,15,service49b74d0c,total,26490,1,per_service
clique,10,3,16,servicef844804e,bid_collection,9463,1,per_service
clique,10,3,16,servicef844804e,winner_selection,297,1,per_service
clique,10,3,16,servicef844804e,provider_deploy,9559,1,per_service
clique,10,3,16,servicef844804e,vxlan_setup,302,1,per_service
clique,10,3,16,servicef844804e,postcheck,1103,1,per_service
clique,10,3,16,servicef844804e,total,20724,1,per_service
clique,10,3,17,service156d70b8,bid_collection,9894,1,per_service
clique,10,3,17,service156d70b8,winner_selection,292,1,per_service
clique,10,3,17,service156d70b8,provider_deploy,14499,1,per_service
clique,10,3,17,service156d70b8,vxlan_setup,284,1,per_service
clique,10,3,17,service156d70b8,postcheck,1074,1,per_service
clique,10,3,17,service156d70b8,total,26043,1,per_service
clique,10,3,18,service67871b0a,bid_collection,5975,1,per_service
clique,10,3,18,service67871b0a,winner_selection,370,1,per_service
clique,10,3,18,service67871b0a,provider_deploy,9593,1,per_service
clique,10,3,18,service67871b0a,vxlan_setup,349,1,per_service
clique,10,3,18,service67871b0a,postcheck,1095,1,per_service
clique,10,3,18,service67871b0a,total,17383,1,per_service
clique,10,3,19,servicead0c9e79,bid_collection,9473,1,per_service
clique,10,3,19,servicead0c9e79,winner_selection,317,1,per_service
clique,10,3,19,servicead0c9e79,provider_deploy,9561,1,per_service
clique,10,3,19,servicead0c9e79,vxlan_setup,346,1,per_service
clique,10,3,19,servicead0c9e79,postcheck,1072,1,per_service
clique,10,3,19,servicead0c9e79,total,20770,1,per_service
clique,10,3,2,service307e894e,bid_collection,7442,1,per_service
clique,10,3,2,service307e894e,winner_selection,344,1,per_service
clique,10,3,2,service307e894e,provider_deploy,9664,1,per_service
clique,10,3,2,service307e894e,vxlan_setup,358,1,per_service
clique,10,3,2,service307e894e,postcheck,1070,1,per_service
clique,10,3,2,service307e894e,total,18878,1,per_service
clique,10,3,20,service3cf0ff0c,bid_collection,5572,1,per_service
clique,10,3,20,service3cf0ff0c,winner_selection,280,1,per_service
clique,10,3,20,service3cf0ff0c,provider_deploy,9777,1,per_service
clique,10,3,20,service3cf0ff0c,vxlan_setup,329,1,per_service
clique,10,3,20,service3cf0ff0c,postcheck,1078,1,per_service
clique,10,3,20,service3cf0ff0c,total,17037,1,per_service
clique,10,3,3,servicee45b584b,bid_collection,3951,1,per_service
clique,10,3,3,servicee45b584b,winner_selection,365,1,per_service
clique,10,3,3,servicee45b584b,provider_deploy,9431,1,per_service
clique,10,3,3,servicee45b584b,vxlan_setup,371,1,per_service
clique,10,3,3,servicee45b584b,postcheck,1087,1,per_service
clique,10,3,3,servicee45b584b,total,15205,1,per_service
clique,10,3,4,service0b58276a,bid_collection,9700,1,per_service
clique,10,3,4,service0b58276a,winner_selection,332,1,per_service
clique,10,3,4,service0b58276a,provider_deploy,14178,1,per_service
clique,10,3,4,service0b58276a,vxlan_setup,349,1,per_service
clique,10,3,4,service0b58276a,postcheck,1083,1,per_service
clique,10,3,4,service0b58276a,total,25642,1,per_service
clique,10,3,5,service285e0659,bid_collection,4592,1,per_service
clique,10,3,5,service285e0659,winner_selection,293,1,per_service
clique,10,3,5,service285e0659,provider_deploy,9604,1,per_service
clique,10,3,5,service285e0659,vxlan_setup,294,1,per_service
clique,10,3,5,service285e0659,postcheck,1076,1,per_service
clique,10,3,5,service285e0659,total,15859,1,per_service
clique,10,3,6,service520ee7c7,bid_collection,5816,1,per_service
clique,10,3,6,service520ee7c7,winner_selection,283,1,per_service
clique,10,3,6,service520ee7c7,provider_deploy,9802,1,per_service
clique,10,3,6,service520ee7c7,vxlan_setup,352,1,per_service
clique,10,3,6,service520ee7c7,postcheck,1081,1,per_service
clique,10,3,6,service520ee7c7,total,17334,1,per_service
clique,10,3,7,servicef31f37d9,bid_collection,9271,1,per_service
clique,10,3,7,servicef31f37d9,winner_selection,288,1,per_service
clique,10,3,7,servicef31f37d9,provider_deploy,9827,1,per_service
clique,10,3,7,servicef31f37d9,vxlan_setup,359,1,per_service
clique,10,3,7,servicef31f37d9,postcheck,1081,1,per_service
clique,10,3,7,servicef31f37d9,total,20827,1,per_service
clique,10,3,8,serviceba3ccb88,bid_collection,8848,1,per_service
clique,10,3,8,serviceba3ccb88,winner_selection,313,1,per_service
clique,10,3,8,serviceba3ccb88,provider_deploy,9602,1,per_service
clique,10,3,8,serviceba3ccb88,vxlan_setup,303,1,per_service
clique,10,3,8,serviceba3ccb88,postcheck,1065,1,per_service
clique,10,3,8,serviceba3ccb88,total,20131,1,per_service
clique,10,3,9,service09536222,bid_collection,6204,1,per_service
clique,10,3,9,service09536222,winner_selection,311,1,per_service
clique,10,3,9,service09536222,provider_deploy,14645,1,per_service
clique,10,3,9,service09536222,vxlan_setup,273,1,per_service
clique,10,3,9,service09536222,postcheck,1109,1,per_service
clique,10,3,9,service09536222,total,22542,1,per_service
clique,10,4,1,service4e1b79bc,bid_collection,7169,1,per_service
clique,10,4,1,service4e1b79bc,winner_selection,395,1,per_service
clique,10,4,1,service4e1b79bc,provider_deploy,9354,1,per_service
clique,10,4,1,service4e1b79bc,vxlan_setup,566,1,per_service
clique,10,4,1,service4e1b79bc,postcheck,1112,1,per_service
clique,10,4,1,service4e1b79bc,total,18596,1,per_service
clique,10,4,10,service6462e1cb,bid_collection,7898,1,per_service
clique,10,4,10,service6462e1cb,winner_selection,352,1,per_service
clique,10,4,10,service6462e1cb,provider_deploy,9660,1,per_service
clique,10,4,10,service6462e1cb,vxlan_setup,387,1,per_service
clique,10,4,10,service6462e1cb,postcheck,1098,1,per_service
clique,10,4,10,service6462e1cb,total,19396,1,per_service
clique,10,4,11,service7deed55b,bid_collection,5410,1,per_service
clique,10,4,11,service7deed55b,winner_selection,313,1,per_service
clique,10,4,11,service7deed55b,provider_deploy,9640,1,per_service
clique,10,4,11,service7deed55b,vxlan_setup,444,1,per_service
clique,10,4,11,service7deed55b,postcheck,1083,1,per_service
clique,10,4,11,service7deed55b,total,16890,1,per_service
clique,10,4,12,service7d415324,bid_collection,5799,1,per_service
clique,10,4,12,service7d415324,winner_selection,334,1,per_service
clique,10,4,12,service7d415324,provider_deploy,9442,1,per_service
clique,10,4,12,service7d415324,vxlan_setup,377,1,per_service
clique,10,4,12,service7d415324,postcheck,1103,1,per_service
clique,10,4,12,service7d415324,total,17056,1,per_service
clique,10,4,13,serviceb336ef80,bid_collection,8523,1,per_service
clique,10,4,13,serviceb336ef80,winner_selection,330,1,per_service
clique,10,4,13,serviceb336ef80,provider_deploy,9647,1,per_service
clique,10,4,13,serviceb336ef80,vxlan_setup,375,1,per_service
clique,10,4,13,serviceb336ef80,postcheck,1080,1,per_service
clique,10,4,13,serviceb336ef80,total,19955,1,per_service
clique,10,4,14,servicec1a77525,bid_collection,8913,1,per_service
clique,10,4,14,servicec1a77525,winner_selection,380,1,per_service
clique,10,4,14,servicec1a77525,provider_deploy,9464,1,per_service
clique,10,4,14,servicec1a77525,vxlan_setup,382,1,per_service
clique,10,4,14,servicec1a77525,postcheck,1102,1,per_service
clique,10,4,14,servicec1a77525,total,20242,1,per_service
clique,10,4,15,serviceabb30e2e,bid_collection,10104,1,per_service
clique,10,4,15,serviceabb30e2e,winner_selection,335,1,per_service
