consensus,mec_count,provider_id,run_id,phase,value_ms,won_any,aggregation
clique,30,1,13,announce_wait,272,0,per_run
clique,30,1,13,bid_sending,2909,0,per_run
clique,30,1,13,winner_wait,7343,0,per_run
clique,30,1,14,announce_wait,386,0,per_run
clique,30,1,14,bid_sending,2969,0,per_run
clique,30,1,14,winner_wait,6874,0,per_run
clique,30,1,15,announce_wait,313,0,per_run
clique,30,1,15,bid_sending,3119,0,per_run
clique,30,1,15,winner_wait,7243,0,per_run
clique,30,1,16,announce_wait,372,0,per_run
clique,30,1,16,bid_sending,3059,0,per_run
clique,30,1,16,winner_wait,6996,0,per_run
clique,30,1,17,announce_wait,397,1,per_run
clique,30,1,17,bid_sending,3148,1,per_run
clique,30,1,17,winner_wait,6772,1,per_run
clique,30,1,17,confirm_all,21633,1,per_run
clique,30,1,18,announce_wait,355,0,per_run
clique,30,1,18,bid_sending,3088,0,per_run
clique,30,1,18,winner_wait,7048,0,per_run
clique,30,1,19,announce_wait,361,0,per_run
clique,30,1,19,bid_sending,2777,0,per_run
clique,30,1,19,winner_wait,6610,0,per_run
clique,30,1,2,announce_wait,375,0,per_run
clique,30,1,2,bid_sending,3139,0,per_run
clique,30,1,2,winner_wait,7154,0,per_run
clique,30,1,20,announce_wait,316,0,per_run
clique,30,1,20,bid_sending,3014,0,per_run
clique,30,1,20,winner_wait,7099,0,per_run
clique,30,1,3,announce_wait,360,0,per_run
clique,30,1,3,bid_sending,3392,0,per_run
clique,30,1,3,winner_wait,6609,0,per_run
clique,30,1,4,announce_wait,349,0,per_run
clique,30,1,4,bid_sending,3348,0,per_run
clique,30,1,4,winner_wait,7137,0,per_run
clique,30,1,5,announce_wait,375,0,per_run
clique,30,1,5,bid_sending,3139,0,per_run
clique,30,1,5,winner_wait,7154,0,per_run
clique,30,1,6,announce_wait,323,0,per_run
clique,30,1,6,bid_sending,3335,0,per_run
clique,30,1,6,winner_wait,6861,0,per_run
clique,30,1,7,announce_wait,324,0,per_run
clique,30,1,7,bid_sending,3083,0,per_run
clique,30,1,7,winner_wait,7091,0,per_run
