consensus,mec_count,provider_id,run_id,file,won_any,p_announce_wait_ms,p_bid_sending_ms,p_winner_wait_ms,p_confirm_all_ms
clique,30,3,8,clique/30-mecs/provider_3_run_8.csv,0,280,3087,7380,
clique,30,3,9,clique/30-mecs/provider_3_run_9.csv,0,307,2933,9698,
clique,30,4,1,clique/30-mecs/provider_4_run_1.csv,0,372,3121,6750,
clique,30,4,10,clique/30-mecs/provider_4_run_10.csv,0,312,2958,7068,
clique,30,4,11,clique/30-mecs/provider_4_run_11.csv,0,282,2807,7341,
clique,30,4,12,clique/30-mecs/provider_4_run_12.csv,0,337,2953,6879,
clique,30,4,13,clique/30-mecs/provider_4_run_13.csv,0,329,2980,7125,
clique,30,4,14,clique/30-mecs/provider_4_run_14.csv,1,416,2982,6893,20922
clique,30,4,15,clique/30-mecs/provider_4_run_15.csv,0,323,3096,7046,
clique,30,4,16,clique/30-mecs/provider_4_run_16.csv,0,288,2905,7283,
clique,30,4,17,clique/30-mecs/provider_4_run_17.csv,0,276,2995,7258,
clique,30,4,18,clique/30-mecs/provider_4_run_18.csv,0,330,2807,7148,
clique,30,4,19,clique/30-mecs/provider_4_run_19.csv,0,290,2710,6767,
clique,30,4,2,clique/30-mecs/provider_4_run_2.csv,1,373,3214,7029,21870
clique,30,4,20,clique/30-mecs/provider_4_run_20.csv,0,285,2769,7235,
clique,30,4,3,clique/30-mecs/provider_4_run_3.csv,0,361,3519,6766,
clique,30,4,4,clique/30-mecs/provider_4_run_4.csv,1,388,3510,6851,22216
clique,30,4,5,clique/30-mecs/provider_4_run_5.csv,1,373,3214,7029,21870
clique,30,4,6,clique/30-mecs/provider_4_run_6.csv,1,364,3095,7109,21893
clique,30,4,7,clique/30-mecs/provider_4_run_7.csv,0,305,3118,6917,
clique,30,4,8,clique/30-mecs/provider_4_run_8.csv,0,338,3192,6920,
clique,30,4,9,clique/30-mecs/provider_4_run_9.csv,0,348,3004,9536,
clique,30,5,1,clique/30-mecs/provider_5_run_1.csv,1,303,2965,6738,21191
clique,30,5,10,clique/30-mecs/provider_5_run_10.csv,0,300,2783,7378,
clique,30,5,11,clique/30-mecs/provider_5_run_11.csv,0,275,2739,7432,
clique,30,5,12,clique/30-mecs/provider_5_run_12.csv,0,317,3189,6808,
clique,30,5,13,clique/30-mecs/provider_5_run_13.csv,1,391,2920,7184,19636
clique,30,5,14,clique/30-mecs/provider_5_run_14.csv,0,272,2966,6990,
clique,30,5,15,clique/30-mecs/provider_5_run_15.csv,0,275,3293,6968,
clique,30,5,16,clique/30-mecs/provider_5_run_16.csv,0,301,3017,7240,
clique,30,5,17,clique/30-mecs/provider_5_run_17.csv,0,277,3102,6757,
clique,30,5,18,clique/30-mecs/provider_5_run_18.csv,1,366,2913,7141,19845
clique,30,5,19,clique/30-mecs/provider_5_run_19.csv,0,328,2918,6587,
clique,30,5,2,clique/30-mecs/provider_5_run_2.csv,0,364,2928,7381,
clique,30,5,20,clique/30-mecs/provider_5_run_20.csv,0,318,3065,6850,
clique,30,5,3,clique/30-mecs/provider_5_run_3.csv,1,358,3095,7071,20352
clique,30,5,4,clique/30-mecs/provider_5_run_4.csv,0,316,3069,7078,
clique,30,5,5,clique/30-mecs/provider_5_run_5.csv,0,364,2928,7381,
clique,30,5,6,clique/30-mecs/provider_5_run_6.csv,0,282,3049,7122,
clique,30,5,7,clique/30-mecs/provider_5_run_7.csv,1,327,3038,6990,20774
clique,30,5,8,clique/30-mecs/provider_5_run_8.csv,0,392,3027,7057,
clique,30,5,9,clique/30-mecs/provider_5_run_9.csv,0,323,2854,9547,
clique,30,6,1,clique/30-mecs/provider_6_run_1.csv,0,359,2984,7088,
clique,30,6,10,clique/30-mecs/provider_6_run_10.csv,0,300,2862,7249,
clique,30,6,11,clique/30-mecs/provider_6_run_11.csv,0,378,2818,7080,
clique,30,6,12,clique/30-mecs/provider_6_run_12.csv,0,319,3228,6851,
clique,30,6,13,clique/30-mecs/provider_6_run_13.csv,0,334,3124,7033,
clique,30,6,14,clique/30-mecs/provider_6_run_14.csv,0,285,3238,6438,
clique,30,6,15,clique/30-mecs/provider_6_run_15.csv,0,346,3074,7216,
clique,30,6,16,clique/30-mecs/provider_6_run_16.csv,1,285,2948,7151,21724
clique,30,6,17,clique/30-mecs/provider_6_run_17.csv,0,282,2931,7056,
clique,30,6,18,clique/30-mecs/provider_6_run_18.csv,0,305,3043,7067,
clique,30,6,19,clique/30-mecs/provider_6_run_19.csv,1,340,2929,6307,21078
clique,30,6,2,clique/30-mecs/provider_6_run_2.csv,0,348,3062,6950,
clique,30,6,20,clique/30-mecs/provider_6_run_20.csv,0,322,3105,6910,
clique,30,6,3,clique/30-mecs/provider_6_run_3.csv,0,390,3314,6777,
clique,30,6,4,clique/30-mecs/provider_6_run_4.csv,0,450,3122,7098,
clique,30,6,5,clique/30-mecs/provider_6_run_5.csv,0,348,3062,6950,
clique,30,6,6,clique/30-mecs/provider_6_run_6.csv,0,279,3011,7040,
clique,30,6,7,clique/30-mecs/provider_6_run_7.csv,0,355,3099,6860,
clique,30,6,8,clique/30-mecs/provider_6_run_8.csv,0,295,3040,7445,
clique,30,6,9,clique/30-mecs/provider_6_run_9.csv,1,355,2847,9452,22501
clique,4,1,1,clique/4-mecs/provider_1_run_1.csv,1,19,425,9431,2120
clique,4,1,10,clique/4-mecs/provider_1_run_10.csv,1,16,389,9608,2026
clique,4,1,11,clique/4-mecs/provider_1_run_11.csv,1,24,367,9468,2121
clique,4,1,12,clique/4-mecs/provider_1_run_12.csv,1,16,396,9497,2051
clique,4,1,13,clique/4-mecs/provider_1_run_13.csv,1,26,375,9429,2062
clique,4,1,14,clique/4-mecs/provider_1_run_14.csv,1,17,409,9475,2032
clique,4,1,15,clique/4-mecs/provider_1_run_15.csv,1,28,367,9472,1979
clique,4,1,16,clique/4-mecs/provider_1_run_16.csv,1,22,365,9638,1972
clique,4,1,17,clique/4-mecs/provider_1_run_17.csv,1,17,358,9666,2038
clique,4,1,18,clique/4-mecs/provider_1_run_18.csv,1,17,372,9601,2036
clique,4,1,19,clique/4-mecs/provider_1_run_19.csv,1,16,373,9453,2008
clique,4,1,2,clique/4-mecs/provider_1_run_2.csv,1,19,388,9605,2170
clique,4,1,20,clique/4-mecs/provider_1_run_20.csv,1,17,357,9484,2044
clique,4,1,3,clique/4-mecs/provider_1_run_3.csv,1,21,378,9575,2304
clique,4,1,4,clique/4-mecs/provider_1_run_4.csv,1,19,363,9519,1995
clique,4,1,5,clique/4-mecs/provider_1_run_5.csv,1,18,377,9530,2069
clique,4,1,6,clique/4-mecs/provider_1_run_6.csv,1,16,387,9546,1981
clique,4,1,7,clique/4-mecs/provider_1_run_7.csv,1,18,404,9704,1987
clique,4,1,8,clique/4-mecs/provider_1_run_8.csv,1,18,375,9506,2084
clique,4,1,9,clique/4-mecs/provider_1_run_9.csv,1,17,378,9409,1988
qbft,10,1,1,qbft/10-mecs/provider_1_run_1.csv,1,81,913,9051,6077
qbft,10,1,10,qbft/10-mecs/provider_1_run_10.csv,0,60,785,9132,
qbft,10,1,11,qbft/10-mecs/provider_1_run_11.csv,0,90,805,9116,
qbft,10,1,12,qbft/10-mecs/provider_1_run_12.csv,1,58,854,9050,5833
qbft,10,1,13,qbft/10-mecs/provider_1_run_13.csv,0,62,819,9274,
qbft,10,1,14,qbft/10-mecs/provider_1_run_14.csv,0,64,798,9096,
qbft,10,1,15,qbft/10-mecs/provider_1_run_15.csv,0,70,919,9269,
qbft,10,1,16,qbft/10-mecs/provider_1_run_16.csv,0,62,776,9173,
qbft,10,1,17,qbft/10-mecs/provider_1_run_17.csv,1,59,810,9067,5883
qbft,10,1,18,qbft/10-mecs/provider_1_run_18.csv,0,64,769,9118,
qbft,10,1,19,qbft/10-mecs/provider_1_run_19.csv,0,58,814,9114,
qbft,10,1,2,qbft/10-mecs/provider_1_run_2.csv,1,5137,910,8694,5934
qbft,10,1,20,qbft/10-mecs/provider_1_run_20.csv,1,61,803,9187,5797
qbft,10,1,3,qbft/10-mecs/provider_1_run_3.csv,0,66,908,9112,
qbft,10,1,4,qbft/10-mecs/provider_1_run_4.csv,0,80,896,9038,
qbft,10,1,5,qbft/10-mecs/provider_1_run_5.csv,1,57,884,9022,5912
qbft,10,1,6,qbft/10-mecs/provider_1_run_6.csv,1,105,780,8905,6109
qbft,10,1,7,qbft/10-mecs/provider_1_run_7.csv,0,67,788,9110,
qbft,10,1,8,qbft/10-mecs/provider_1_run_8.csv,1,60,853,9250,5840
qbft,10,1,9,qbft/10-mecs/provider_1_run_9.csv,1,77,802,9081,5821
qbft,10,2,1,qbft/10-mecs/provider_2_run_1.csv,0,79,978,8964,
qbft,10,2,10,qbft/10-mecs/provider_2_run_10.csv,1,59,790,9075,5964
qbft,10,2,11,qbft/10-mecs/provider_2_run_11.csv,1,88,768,9108,5985
qbft,10,2,12,qbft/10-mecs/provider_2_run_12.csv,0,57,819,8888,
qbft,10,2,13,qbft/10-mecs/provider_2_run_13.csv,1,60,829,9198,6008
qbft,10,2,14,qbft/10-mecs/provider_2_run_14.csv,1,64,740,8913,6023
qbft,10,2,15,qbft/10-mecs/provider_2_run_15.csv,1,65,778,9206,5884
qbft,10,2,16,qbft/10-mecs/provider_2_run_16.csv,1,65,822,9026,5883
qbft,10,2,17,qbft/10-mecs/provider_2_run_17.csv,0,55,824,8971,
qbft,10,2,18,qbft/10-mecs/provider_2_run_18.csv,1,66,793,9061,5750
qbft,10,2,19,qbft/10-mecs/provider_2_run_19.csv,1,58,793,9067,5842
qbft,10,2,2,qbft/10-mecs/provider_2_run_2.csv,0,5086,836,9012,
qbft,10,2,20,qbft/10-mecs/provider_2_run_20.csv,0,62,773,9133,
qbft,10,2,3,qbft/10-mecs/provider_2_run_3.csv,1,65,889,9150,5916
qbft,10,2,4,qbft/10-mecs/provider_2_run_4.csv,1,77,967,9063,6010
qbft,10,2,5,qbft/10-mecs/provider_2_run_5.csv,0,88,830,9347,
qbft,10,2,6,qbft/10-mecs/provider_2_run_6.csv,0,88,774,9065,
qbft,10,2,7,qbft/10-mecs/provider_2_run_7.csv,1,77,865,9131,5783
qbft,10,2,8,qbft/10-mecs/provider_2_run_8.csv,0,64,832,9182,
qbft,10,2,9,qbft/10-mecs/provider_2_run_9.csv,0,74,782,9193,
qbft,20,1,1,qbft/20-mecs/provider_1_run_1.csv,0,314,2425,7490,
qbft,20,1,10,qbft/20-mecs/provider_1_run_10.csv,0,160,1515,8525,
qbft,20,1,11,qbft/20-mecs/provider_1_run_11.csv,0,190,1680,8418,
