consensus,mec_count,consumer_id,run_id,file,service_id,has_success,c_bid_collection_ms,c_winner_selection_ms,c_provider_deploy_ms,c_vxlan_setup_ms,c_postcheck_ms,c_total_ms
clique,10,8,11,clique/10-mecs/consumer_8_run_11.csv,service1757681891405,1,15078,155,19802,341,1084,36461
clique,10,8,12,clique/10-mecs/consumer_8_run_12.csv,service1757681965125,1,6229,230,19723,378,1084,27644
clique,10,8,13,clique/10-mecs/consumer_8_run_13.csv,service1757682036321,1,10548,149,19752,373,1068,31897
clique,10,8,14,clique/10-mecs/consumer_8_run_14.csv,service1757682109213,1,7779,177,19786,337,1101,29181
clique,10,8,15,clique/10-mecs/consumer_8_run_15.csv,service1757682181401,1,20053,116,19877,275,1091,41413
clique,10,8,16,clique/10-mecs/consumer_8_run_16.csv,service1757682258329,1,8759,159,19857,325,1098,30199
clique,10,8,17,clique/10-mecs/consumer_8_run_17.csv,service1757682331932,1,10100,161,19874,296,1103,31535
clique,10,8,18,clique/10-mecs/consumer_8_run_18.csv,service1757682402828,1,14541,125,19856,302,1110,35935
clique,10,8,19,clique/10-mecs/consumer_8_run_19.csv,service1757682476770,1,9923,153,19863,348,1116,31403
clique,10,8,2,clique/10-mecs/consumer_8_run_2.csv,service1757681222657,1,9825,203,19729,354,1086,31197
clique,10,8,20,clique/10-mecs/consumer_8_run_20.csv,service1757682553434,1,13664,153,19893,383,1092,35186
clique,10,8,3,clique/10-mecs/consumer_8_run_3.csv,service1757681297984,1,9660,198,19631,408,1082,30979
clique,10,8,4,clique/10-mecs/consumer_8_run_4.csv,service1757681372336,1,9885,217,19752,437,1080,31372
clique,10,8,5,clique/10-mecs/consumer_8_run_5.csv,service1757681446926,1,20079,160,19815,316,1095,41466
clique,10,8,6,clique/10-mecs/consumer_8_run_6.csv,service1757681522330,1,14544,158,19730,499,1078,36010
clique,10,8,7,clique/10-mecs/consumer_8_run_7.csv,service1757681597194,1,9806,172,19786,401,1073,31239
clique,10,8,8,clique/10-mecs/consumer_8_run_8.csv,service1757681672356,1,9421,263,19701,380,1089,30854
clique,10,8,9,clique/10-mecs/consumer_8_run_9.csv,service1757681746273,1,5598,174,19809,427,1103,27111
clique,20,10,1,clique/20-mecs/consumer_10_run_1.csv,service1757755598219,1,8028,429,28516,306,1074,38353
clique,20,10,10,clique/20-mecs/consumer_10_run_10.csv,service1757756708169,1,8100,308,29437,285,1059,39189
clique,20,10,11,clique/20-mecs/consumer_10_run_11.csv,service1757756837147,1,9329,331,34064,315,1060,45099
clique,20,10,12,clique/20-mecs/consumer_10_run_12.csv,service1757756967304,1,8369,285,29437,274,1072,39438
clique,20,10,13,clique/20-mecs/consumer_10_run_13.csv,service1757757096762,1,9938,358,24357,278,1065,35996
clique,20,10,14,clique/20-mecs/consumer_10_run_14.csv,service1757757225364,1,10423,339,34306,314,1073,46455
clique,20,10,15,clique/20-mecs/consumer_10_run_15.csv,service1757757357690,1,9305,326,29376,328,1080,40415
clique,20,10,16,clique/20-mecs/consumer_10_run_16.csv,service1757757490144,1,6255,322,29178,309,1074,37139
clique,20,10,17,clique/20-mecs/consumer_10_run_17.csv,service1757757615708,1,10795,315,29354,315,1065,41844
clique,20,10,18,clique/20-mecs/consumer_10_run_18.csv,service1757757747551,1,9105,313,34276,278,1067,45039
clique,20,10,19,clique/20-mecs/consumer_10_run_19.csv,service1757757878561,1,7906,326,29392,350,1060,39035
clique,20,10,2,clique/20-mecs/consumer_10_run_2.csv,service1757755725991,1,6371,386,19342,298,1076,27473
clique,20,10,20,clique/20-mecs/consumer_10_run_20.csv,service1757758007307,1,8491,290,34403,303,1084,44572
clique,20,10,3,clique/20-mecs/consumer_10_run_3.csv,service1757755853579,1,8174,454,29264,284,1061,39237
clique,20,10,4,clique/20-mecs/consumer_10_run_4.csv,service1757755980572,1,10452,333,39400,320,1060,51566
clique,20,10,5,clique/20-mecs/consumer_10_run_5.csv,service1757756112182,1,8612,377,34235,338,1073,44636
clique,20,10,6,clique/20-mecs/consumer_10_run_6.csv,service1757755853579,1,8174,454,29264,284,1061,39237
clique,20,10,7,clique/20-mecs/consumer_10_run_7.csv,service1757755853579,1,8174,454,29264,284,1061,39237
clique,20,10,8,clique/20-mecs/consumer_10_run_8.csv,service1757755853579,1,8174,454,29264,284,1061,39237
clique,20,10,9,clique/20-mecs/consumer_10_run_9.csv,service1757756578612,1,8159,347,34316,300,1069,44191
clique,20,11,1,clique/20-mecs/consumer_11_run_1.csv,service1757755598712,1,7974,385,38630,249,1143,48381
clique,20,11,10,clique/20-mecs/consumer_11_run_10.csv,service1757756708936,1,8034,339,34337,257,1118,44085
clique,20,11,11,clique/20-mecs/consumer_11_run_11.csv,service1757756837566,1,9235,333,29285,260,1121,40234
clique,20,11,12,clique/20-mecs/consumer_11_run_12.csv,service1757756967543,1,8415,327,39436,226,1122,49526
clique,20,11,13,clique/20-mecs/consumer_11_run_13.csv,service1757757096324,1,9845,324,34332,251,1121,45873
clique,20,11,14,clique/20-mecs/consumer_11_run_14.csv,service1757757225461,1,10468,317,39419,240,1117,51561
clique,20,11,15,clique/20-mecs/consumer_11_run_15.csv,service1757757357240,1,9219,328,34565,227,1138,45477
clique,20,11,16,clique/20-mecs/consumer_11_run_16.csv,service1757757490761,1,6113,319,39533,235,1111,47311
clique,20,11,17,clique/20-mecs/consumer_11_run_17.csv,service1757757615266,1,10687,316,34464,240,1127,46834
clique,20,11,18,clique/20-mecs/consumer_11_run_18.csv,service1757757747954,1,9005,310,9467,229,1129,20140
clique,20,11,19,clique/20-mecs/consumer_11_run_19.csv,service1757757878361,1,7765,324,34475,224,1130,43918
clique,20,11,2,clique/20-mecs/consumer_11_run_2.csv,service1757755725907,1,6374,356,34729,230,1134,42824
clique,20,11,20,clique/20-mecs/consumer_11_run_20.csv,service1757758007348,1,8380,319,34513,223,1118,44553
